Wall time,Step,Value
1636032913.9788628,130,88.125
1636032914.988634,300,92.5
1636032915.2864778,350,91.875
1636032915.4043305,370,92.1875
1636032916.1116748,490,91.25
1636032916.2305324,510,90.15625
1636032916.5856144,570,92.03125
1636032917.2923257,690,92.8125
1636032917.5982556,740,92.8125
1636032918.1879818,840,93.75
1636032919.6285858,948,91.5625
1636032921.2829504,1228,94.21875
1636032921.4008703,1248,94.53125
1636032921.642851,1288,94.53125
1636032922.495783,1438,93.28125
1636032924.8138864,1848,94.6875
1636032925.8017466,1886,95.15625
1636032926.8286674,2066,94.53125
1636032927.8526852,2246,93.28125
1636032928.8774636,2416,93.125
1636032929.0479028,2446,93.90625
1636032929.3307352,2496,95.78125
1636032929.6138268,2546,95.9375
1636032930.6351728,2726,92.96875
1636032930.6917946,2736,95.46875
1636032932.4792972,2914,95.9375
1636032932.6497798,2944,95.0
1636032933.05047,3014,96.09375
1636032934.585109,3284,94.375
1636032934.6987157,3304,97.34375
1636032935.0966802,3374,95.0
1636032936.1202843,3554,95.3125
1636032936.2341063,3574,95.78125
1636032936.6323721,3644,94.53125
1636032937.1445947,3734,95.625
1636032938.566909,3842,95.46875
1636032938.6237185,3852,95.15625
1636032939.197026,3952,96.09375
1636032939.4243975,3992,94.21875
1636032939.4816275,4002,95.0
1636032940.563371,4192,95.78125
1636032940.8462937,4242,95.625
1636032940.9592795,4262,96.40625
1636032941.1863396,4302,95.15625
1636032941.6986039,4392,96.71875
1636032942.7199712,4572,96.71875
1636032944.680622,4780,95.3125
1636032944.967531,4830,96.09375
1636032945.4787066,4920,96.5625
1636032945.820401,4980,97.8125
1636032945.8776882,4990,95.15625
1636032946.1066284,5030,95.9375
1636032946.2784505,5060,95.78125
1636032947.534751,5280,95.46875
1636032948.5655048,5460,95.0
1636032948.7941592,5500,96.09375
1636032949.0820138,5550,97.65625
1636032949.4816747,5620,95.9375
1636032950.8983798,5718,96.25
1636032951.0122366,5738,95.46875
1636032951.5841548,5838,95.9375
1636032951.926832,5898,96.875
1636032952.041213,5918,93.90625
1636032952.3846564,5978,97.65625
1636032952.498965,5998,95.3125
1636032952.6130846,6018,96.875
1636032953.2969987,6138,96.25
1636032953.4114244,6158,96.875
1636032953.524245,6178,96.71875
1636032954.8296342,6408,96.09375
1636032955.3391216,6498,96.40625
1636032955.5095026,6528,95.9375
1636032957.2424471,6696,97.34375
1636032957.8125303,6796,97.03125
1636032957.8689973,6806,95.15625
1636032957.981874,6826,96.5625
1636032958.322382,6886,95.46875
1636032958.661077,6946,96.5625
1636032959.0561073,7016,97.1875
1636032959.339245,7066,96.71875
1636032959.7344608,7136,96.25
1636032960.074194,7196,95.78125
1636032960.8116708,7326,95.9375
1636032963.1144402,7594,96.09375
1636032964.4380646,7824,96.25
1636032964.6657424,7864,96.09375
1636032964.7226377,7874,96.40625
1636032965.119956,7944,96.09375
1636032966.0854867,8114,97.5
1636032966.7105575,8224,97.03125
1636032967.3345168,8334,95.625
1636032967.7296307,8404,96.25
1636032968.8893895,8472,95.15625
1636032970.2589676,8712,97.96875
1636032973.37879,9262,96.5625
1636032973.6047795,9302,97.8125
1636032975.1576912,9440,96.71875
1636032975.777655,9550,97.1875
1636032976.0031874,9590,95.9375
1636032976.4536064,9670,96.5625
1636032976.5100272,9680,97.65625
1636032976.7353206,9720,96.71875
1636032977.2437758,9810,95.9375
1636032977.300233,9820,97.1875
1636032977.8647192,9920,96.25
1636032977.9210844,9930,96.40625
1636032977.9774048,9940,95.625
1636032978.4283922,10020,96.71875
1636032979.561997,10220,98.59375
1636032981.7488909,10468,95.9375
1636032982.0906804,10528,96.40625
1636032982.1476688,10538,96.5625
1636032982.3187969,10568,96.71875
1636032982.8881986,10668,97.65625
1636032983.4015405,10758,96.875
1636032983.5723963,10788,97.1875
1636032984.1399064,10888,96.25
1636032984.430947,10938,97.34375
1636032987.2858377,11306,97.5
1636032987.7947552,11396,96.5625
1636032987.9090185,11416,97.5
1636032988.1372929,11456,97.03125
1636032988.480102,11516,97.1875
1636032988.650968,11546,96.09375
1636032989.0514479,11616,96.40625
1636032989.5072722,11696,95.9375
1636032989.6781368,11726,97.03125
1636032990.1386464,11806,95.0
1636032990.365209,11846,97.34375
1636032990.5926838,11886,96.5625
1636032991.90011,12116,96.40625
1636032992.1286988,12156,96.71875
1636032993.3441114,12234,96.875
1636032993.5724404,12274,95.78125
1636032994.1994529,12384,96.40625
1636032994.88521,12504,97.1875
1636032995.7982426,12664,97.03125
1636032997.22259,12914,96.25
1636032998.0789545,13064,96.25
1636034192.4723513,80,87.1875
1636034192.9435582,160,88.75
1636034193.4136987,240,87.65625
1636034193.764486,300,91.5625
1636034193.8228624,310,90.3125
1636034194.8560014,480,93.75
1636034195.3860352,570,91.71875
1636034196.2064042,710,90.78125
1636034196.3838391,740,93.28125
1636034198.5918052,968,91.71875
1636034199.605705,1138,95.78125
1636034200.3125694,1258,94.53125
1636034200.4879124,1288,94.21875
1636034200.8395329,1348,94.84375
1636034201.8976974,1528,95.625
1636034202.014939,1548,95.15625
1636034203.0680826,1728,94.21875
1636034203.3028913,1768,95.3125
1636034203.4794528,1798,93.4375
1636034205.3702142,1986,93.125
1636034205.6042228,2026,93.59375
1636034206.0163798,2096,95.3125
1636034206.783436,2226,94.6875
1636034207.1393838,2286,94.21875
1636034207.9711232,2426,95.78125
1636034208.6836216,2546,95.0
1636034209.0999398,2616,96.25
1636034209.5695155,2696,94.84375
1636034210.0440135,2776,94.0625
1636034210.1030283,2786,93.28125
1636034212.2403312,3014,95.0
1636034212.47655,3054,95.0
1636034213.3023286,3194,93.90625
1636034214.0007455,3314,94.6875
1636034214.057724,3324,96.5625
1636034214.4563649,3394,95.3125
1636034215.2624493,3534,95.15625
1636034215.6053386,3594,95.78125
1636034216.004268,3664,94.6875
1636034216.119267,3684,95.0
1636034217.4424613,3782,96.09375
1636034217.556857,3802,95.3125
1636034217.613806,3812,94.6875
1636034218.712922,4002,94.53125
1636034218.887872,4032,95.46875
1636034219.4082851,4122,94.53125
1636034220.1550663,4252,96.25
1636034220.9638138,4392,95.78125
1636034221.5428562,4492,95.0
1636034222.4694686,4652,95.78125
1636034223.9172833,4770,95.15625
1636034224.9521103,4950,95.0
1636034225.524661,5050,95.3125
1636034225.5815678,5060,94.84375
1636034225.9245524,5120,97.34375
1636034226.3248384,5190,95.3125
1636034226.5539367,5230,95.625
1636034226.6110585,5240,95.3125
1636034226.6686661,5250,95.625
1636034227.9305701,5470,96.40625
1636034227.9876757,5480,93.59375
1636034228.2161195,5520,95.15625
1636034228.3301752,5540,96.25
1636034229.713506,5638,95.9375
1636034229.9767463,5678,94.6875
1636034231.6723561,5968,95.9375
1636034231.7301202,5978,96.71875
1636034232.2482734,6068,96.25
1636034232.4208481,6098,95.3125
1636034232.823315,6168,95.46875
1636034233.396746,6268,95.78125
1636034233.4537141,6278,96.40625
1636034233.5113013,6288,95.625
1636034233.5691125,6298,95.46875
1636034233.856816,6348,95.9375
1636034234.201617,6408,96.25
1636034234.4315672,6448,96.40625
1636034234.546525,6468,93.75
1636034236.2785945,6636,96.09375
1636034236.6217043,6696,97.8125
1636034236.6787045,6706,95.625
1636034237.1341653,6786,95.3125
1636034238.225269,6976,96.40625
1636034239.2009668,7146,96.5625
1636034240.6987572,7406,95.78125
1636034242.8429332,7644,96.09375
1636034243.5936036,7774,96.5625
1636034243.7650812,7804,95.78125
1636034245.5483668,8114,96.09375
1636034245.6054614,8124,96.40625
1636034246.5269012,8284,97.34375
1636034246.5840983,8294,95.9375
1636034247.162777,8394,97.03125
1636034247.3339283,8424,95.46875
1636034248.2620912,8452,96.5625
1636034248.8979573,8562,95.3125
1636034249.2483623,8622,96.5625
1636034249.4216394,8652,97.34375
1636034249.651592,8692,96.40625
1636034250.6801403,8872,97.5
1636034250.7370713,8882,94.53125
1636034250.965015,8922,95.0
1636034251.1374848,8952,95.0
1636034251.2519543,8972,95.46875
1636034252.0495934,9112,95.3125
1636034252.2786472,9152,97.1875
1636034252.9131982,9262,96.875
1636034253.0853279,9292,96.875
1636034255.0462835,9500,94.21875
1636034255.5076742,9580,93.75
1636034256.08035,9680,97.03125
1636034256.137456,9690,96.09375
1636034256.774763,9800,96.25
1636034258.1002512,10030,95.625
1636034258.3864303,10080,95.0
1636034259.3638618,10250,96.40625
1636034261.499302,10488,95.3125
1636034262.7015643,10698,96.5625
1636034262.7586253,10708,94.6875
1636034262.9869223,10748,96.71875
1636034263.2158196,10788,95.78125
1636034264.256561,10968,95.9375
1636034264.6061914,11028,96.875
1636034264.66461,11038,96.875
1636034267.9186203,11466,95.15625
1636034268.3778458,11546,95.9375
1636034268.836682,11626,95.3125
